Origen,Destino,Tiempo
Zona Sur,Warehouse District,50.09
Zona Norte,Warehouse District,58.93
Zona Oeste,Warehouse District,43.86
Zona Norte,Downtown,13.22
Zona Este,Waterfront District,55.49
Zona Norte,Arts District,42.09
Zona Este,Waterfront District,32.38
Zona Sur,Warehouse District,36.92
Zona Sur,Tech Park,48.3
Zona Oeste,Arts District,25.88
Zona Norte,Warehouse District,51.25
Zona Sur,Downtown,13.39
Zona Oeste,Tech Park,39.56
Zona Norte,Financial District,2.64
Zona Este,Waterfront District,55.52
Zona Este,Downtown,5.44
Zona Oeste,Warehouse District,55.86
Zona Sur,Tech Park,28.55
Zona Central,Financial District,52.04
Zona Oeste,Warehouse District,1.17
Zona Central,Warehouse District,26.97
Zona Este,Financial District,5.33
Zona Norte,Financial District,21.16
Zona Sur,Arts District,48.37
Zona Oeste,Arts District,16.56
Zona Sur,Financial District,46.81
Zona Este,Waterfront District,52.57
Zona Norte,Downtown,15.77
Zona Norte,Waterfront District,56.55
Zona Este,Waterfront District,59.37
Zona Central,Arts District,12.85
Zona Central,Waterfront District,15.78
Zona Sur,Financial District,40.4
Zona Este,Tech Park,14.37
Zona Norte,Downtown,44.94
Zona Oeste,Downtown,10.85
Zona Este,Tech Park,33.73
Zona Central,Waterfront District,15.5
Zona Norte,Warehouse District,53.25
Zona Norte,Arts District,6.5
Zona Central,Waterfront District,24.26
Zona Este,Waterfront District,40.55
Zona Norte,Warehouse District,0.08
Zona Norte,Downtown,50.11
Zona Norte,Waterfront District,31.09
Zona Sur,Financial District,56.53
Zona Este,Waterfront District,10.42
Zona Este,Financial District,58.3
Zona Este,Financial District,24.83
Zona Central,Downtown,19.07
Zona Norte,Waterfront District,21.26
Zona Sur,Arts District,45.49
Zona Central,Warehouse District,31.86
Zona Central,Tech Park,51.14
Zona Oeste,Waterfront District,18.99
Zona Central,Waterfront District,26.31
Zona Oeste,Warehouse District,44.19
Zona Oeste,Tech Park,1.86
Zona Sur,Warehouse District,27.78
Zona Oeste,Warehouse District,32.82
Zona Central,Waterfront District,16.56
Zona Norte,Arts District,38.17
Zona Central,Tech Park,48.46
Zona Este,Warehouse District,48.86
Zona Este,Tech Park,39.02
Zona Este,Waterfront District,24.81
Zona Sur,Downtown,46.98
Zona Sur,Warehouse District,31.21
Zona Central,Arts District,45.59
Zona Este,Downtown,35.7
Zona Oeste,Financial District,47.51
Zona Norte,Financial District,13.77
Zona Norte,Waterfront District,25.01
Zona Central,Arts District,50.13
Zona Oeste,Warehouse District,54.02
Zona Norte,Financial District,5.42
Zona Central,Tech Park,26.58
Zona Central,Warehouse District,19.91
Zona Central,Financial District,31.74
Zona Sur,Financial District,29.24
Zona Central,Financial District,37.59
Zona Norte,Financial District,35.94
Zona Norte,Financial District,45.47
Zona Central,Financial District,9.6
Zona Sur,Warehouse District,11.68
Zona Norte,Arts District,46.39
Zona Central,Tech Park,27.96
Zona Oeste,Warehouse District,25.24
Zona Oeste,Waterfront District,9.92
Zona Norte,Arts District,20.58
Zona Oeste,Tech Park,5.1
Zona Central,Warehouse District,7.92
Zona Este,Waterfront District,9.12
Zona Norte,Tech Park,9.01
Zona Oeste,Financial District,23.35
Zona Sur,Tech Park,14.77
Zona Sur,Waterfront District,8.41
Zona Sur,Waterfront District,41.5
Zona Oeste,Arts District,50.49
Zona Sur,Financial District,41.35
